StartDate (mm/dd/yyyy),Age,Attrition,BusinessTravel,Performance Score,Department,DistanceFromHome (miles),Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate (Dollars),JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2/3/2000,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,Medium,Female,94,High,2,Sales Executive,Single,5993,19479,8,Y,Yes,11,Excellent,80,0,8,0,1,6,4,0,5
2/4/2000,49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,2,High,Male,61,Medium,2,Research Scientist,Married,5130,24907,1,Y,No,23,Outstanding,80,1,10,3,3,10,7,1,7
2/5/2000,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,4,Very High,Male,92,Medium,1,Laboratory Technician,Single,2090,2396,6,Y,Yes,15,Excellent,80,0,7,3,3,0,0,0,0
2/6/2000,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,5,Very High,Female,56,High,1,Research Scientist,Married,2909,23159,1,Y,Yes,11,Excellent,80,0,8,3,3,8,7,3,0
2/7/2000,27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,7,Low,Male,40,High,1,Laboratory Technician,Married,3468,16632,9,Y,No,12,Excellent,80,1,6,3,3,2,2,2,2
2/8/2000,32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,8,Very High,Male,79,High,1,Laboratory Technician,Single,3068,11864,0,Y,No,13,Poor,80,0,8,2,2,7,7,3,6
2/9/2000,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,10,High,Female,81,Very High,1,Laboratory Technician,Married,2670,9964,4,Y,Yes,20,Outstanding,80,3,12,3,2,1,0,0,0
2/10/2000,30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,11,Very High,Male,67,High,1,Laboratory Technician,Divorced,2693,13335,1,Y,No,22,Outstanding,80,1,1,2,3,1,0,0,0
2/11/2000,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,12,Very High,Male,44,Medium,3,Manufacturing Director,Single,9526,8787,0,Y,No,21,Outstanding,80,0,10,2,3,9,7,1,8
2/12/2000,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,13,High,Male,94,High,2,Healthcare Representative,Married,5237,16577,6,Y,No,13,Excellent,80,2,17,3,2,7,7,7,7
